submission_id,zip,age,gender,cups,cups_num,home_brew,party
RzByqd,3101,25-34 years old,Male,2,2,"Pour over, French press, Other",No affiliation
9dJjKY,10012,25-34 years old,Male,1,1,Espresso,No affiliation
RzByNl,98107,25-34 years old,Female,Less than 1,0,NA,Independent
VZ1O7J,20785,45-54 years old,Female,2,2,"Coffee extract (e.g. Cometeer), Espresso, Pour over, Other",Democrat
vNx5kd,22031,18-24 years old,Female,2,2,"Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)",Democrat
8dp4DO,37211,45-54 years old,Male,1,1,Other,Democrat
7d9rkA,32789,25-34 years old,Female,1,1,"Cold brew, Espresso, Pour over",Democrat
GrBAAp,44240,25-34 years old,Male,3,3,"Pour over, Espresso, Cold brew",No affiliation
rlrMQN,80601,25-34 years old,Male,1,1,Pour over,Republican
GrBAW2,98052,18-24 years old,Female,1,1,"Espresso, Pour over",Democrat
6dQEqe,2129,25-34 years old,Male,1,1,Pour over,Democrat
zKQ5AR,98119,35-44 years old,Male,1,1,NA,No affiliation
eBxWg0,21015,25-34 years old,Male,3,3,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, French press, Cold brew",Republican
jB9AAx,55379,25-34 years old,Male,Less than 1,0,NA,Democrat
YZzl6d,98406,35-44 years old,Male,3,3,"Coffee brewing machine (e.g. Mr. Coffee), Espresso, Cold brew",Democrat
g5N6EN,7438,25-34 years old,Male,Less than 1,0,NA,No affiliation
xdN5AG,37207,25-34 years old,Male,1,1,NA,Democrat
lNlkp5,49525,35-44 years old,NA,2,2,"Pour over, Espresso",NA
YZzl2q,75204,25-34 years old,Male,2,2,"French press, Espresso",Democrat
rlrM75,28801,25-34 years old,Male,1,1,"Pour over, French press, Other",Democrat
zKQ5Ba,16801,35-44 years old,Female,Less than 1,0,Coffee brewing machine (e.g. Mr. Coffee),Republican
0EjRX0,28801,25-34 years old,Female,1,1,"Pour over, French press",Democrat
VZ1OgE,74135,25-34 years old,Male,2,2,"Pour over, Espresso",Independent
9dJjjY,92126,25-34 years old,Male,2,2,"Pour over, Espresso",Democrat
J2kvE4,43026,25-34 years old,Male,1,1,"Pour over, French press, Cold brew, Other",No affiliation
rlrM4M,48170,35-44 years old,Male,3,3,"Coffee brewing machine (e.g. Mr. Coffee), Pour over",Independent
1r2oLM,97123,55-64 years old,NA,3,3,"Espresso, Other",NA
8dp4Bx,94131,25-34 years old,Female,Less than 1,0,Pour over,Democrat
jB9A4a,84058,18-24 years old,Male,2,2,Other,Democrat
42NVVO,22973,45-54 years old,Male,2,2,"Pour over, French press, Cold brew, Espresso",Democrat
bl4QRg,53228,25-34 years old,Male,3,3,"Pour over, French press",Democrat
pLPpqq,16823,35-44 years old,Male,Less than 1,0,Pour over,No affiliation
AlbeXk,NA,35-44 years old,NA,2,2,Espresso,NA
42NV6O,98042,45-54 years old,Male,3,3,"Espresso, French press, Other",No affiliation
42NVeB,95624,35-44 years old,Male,1,1,"Pour over, Espresso, Cold brew",Independent
